,Swedish,English,num_rights
0,som,as,0
1,jag,I,0
2,hans,his,0
3,att,that,0
4,han,he,0
5,var,was,0
6,för,for,0
7,på,on,0
8,är,are,0
9,med,with,0
10,de,they,0
11,vara,be,0
12,vid,at,0
13,ett,one,0
14,ha,have,0
15,detta,this,0
16,från,from,0
17,genom,by,0
18,het,hot,0
19,ord,word,0
20,men,but,0
21,vad,what,0
22,några,some,0
23,är,is,0
24,den,it,0
25,du,you,0
26,eller,or,0
27,hade,had,0
28,den,the,0
29,av,of,0
30,till,to,0
31,och,and,0
32,en,a,0
33,i,in,0
34,vi,we,0
35,kan,can,0
36,ut,out,0
37,andra,other,0
38,var,were,0
39,vilken,which,0
40,göra,do,0
41,deras,their,0
42,tid,time,0
43,om,if,0
44,kommer,will,0
45,hur,how,0
46,sa,said,0
47,ett,an,0
48,varje,each,0
49,berätta,tell,0
50,gör,does,0
51,uppsättning,set,0
52,tre,three,0
53,vill,want,0
54,luft,air,0
55,väl,well,0
56,också,also,0
57,spela,play,0
58,liten,small,0
59,ände,end,0
60,sätta,put,0
61,hem,home,0
62,läsa,read,0
63,sidan,hand,0
64,port,port,0
65,stor,large,0
66,stava,spell,0
67,lägg,add,0
68,även,even,0
69,mark,land,0
70,här,here,0
71,must,must,0
72,stor,big,0
73,hög,high,0
74,sådan,such,0
75,följ,follow,0
76,handling,act,0
77,varför,why,0
78,be,ask,0
79,män,men,0
80,förändring,change,0
81,gick,went,0
82,ljus,light,0
83,slag,kind,0
84,off,off,0
85,behöver,need,0
86,hus,house,0
87,bilden,picture,0
88,försök,try,0
89,oss,us,0
90,igen,again,0
91,djur,animal,0
92,punkt,point,0
93,mor,mother,0
94,världen,world,0
95,nära,near,0
96,bygga,build,0
97,själv,self,0
98,jord,earth,0
99,far,father,0
100,någon,any,0
101,ny,new,0
102,arbete,work,0
103,delen,part,0
104,ta,take,0
105,få,get,0
106,plats,place,0
107,gjort,made,0
108,lever,live,0
109,där,where,0
110,efter,after,0
111,tillbaka,back,0
112,liten,little,0
113,endast,only,0
114,rund,round,0
115,människa,man,0
116,år,year,0
117,kom,came,0
118,visar,show,0
119,varje,every,0
120,bra,good,0
121,mig,me,0
122,ge,give,0
123,vår,our,0
124,enligt,under,0
125,namn,name,0
126,mycket,very,0
127,genom,through,0
128,bara,just,0
129,formulär,form,0
130,meningen,sentence,0
131,bra,great,0
132,tro,think,0
133,säga,say,0
134,hjälpa,help,0
135,låg,low,0
136,linje,line,0
137,skiljer,differ,0
138,tur,turn,0
139,orsak,cause,0
140,mycket,much,0
141,betyda,mean,0
142,före,before,0
143,drag,move,0
144,höger,right,0
145,pojke,boy,0
146,gammal,old,0
147,alltför,too,0
148,samma,same,0
149,hon,she,0
150,alla,all,0
151,där,there,0
152,när,when,0
153,upp,up,0
154,använda,use,0
155,din,your,0
156,sätt,way,0
157,ca,about,0
158,många,many,0
159,cykelverkstad,bicycle shop,0
160,dem,them,0
161,skriva,write,0
162,skulle,would,0
163,liknande,like,0
164,så,so,0
165,dessa,these,0
166,hennes,her,0
167,lång,long,0
168,göra,make,0
169,sak,thing,0
170,se,see,0
171,honom,him,0
172,två,two,0
173,har,has,0
174,ser,look,0
175,mer,more,0
176,dag,day,0
177,kunde,could,0
178,gå,go,0
179,komma,come,0
180,gjorde,did,0
181,antal,number,0
182,sund,sound,0
183,nej,no,0
184,mest,most,0
185,människor,people,0
186,min,my,0
187,över,over,0
188,vet,know,0
189,vatten,water,0
190,än,than,0
191,samtal,call,0
192,först,first,0
193,som,who,0
194,får,may,0
195,ner,down,0
196,sida,side,0
197,varit,been,0
198,nu,now,0
199,hitta,find,0
200,huvud,head,0
201,stå,stand,0
202,egen,own,0
203,sida,page,0
204,bör,should,0
205,land,country,0
206,funnen,found,0
207,svar,answer,0
208,skola,school,0
209,växa,grow,0
210,studie,study,0
211,fortfarande,still,0
212,lära,learn,0
213,växt,plant,0
214,lock,cover,0
215,mat,food,0
216,sol,sun,0
217,fyra,four,0
218,mellan,between,0
219,tillstånd,state,0
220,hålla,keep,0
221,öga,eye,0
222,aldrig,never,0
223,sista,last,0
224,låt,let,0
225,trodde,thought,0
226,ort,city,0
227,träd,tree,0
228,korsa,cross,0
229,gård,farm,0
230,hård,hard,0
231,start,start,0
232,kanske,might,0
233,berättelse,story,0
234,sågen,saw,0
235,långt,far,0
236,hav,sea,0
237,rita,draw,0
238,vänster,left,0
239,sen,late,0
240,köra,run,0
241,inte,don’t,0
242,medan,while,0
243,tryck,press,0
244,nära,close,0
245,natt,night,0
246,verklig,real,0
247,liv,life,0
248,några,few,0
249,norr,north,0
250,boken,book,0
251,bära,carry,0
252,tog,took,0
253,vetenskap,science,0
254,äta,eat,0
255,rum,room,0
256,vän,friend,0
257,började,began,0
258,idé,idea,0
259,fisk,fish,0
260,berg,mountain,0
261,stoppa,stop,0
262,en gång,once,0
263,bas,base,0
264,höra,hear,0
265,häst,horse,0
266,snitt,cut,0
267,säker,sure,0
268,klocka,watch,0
269,färg,color,0
270,ansikte,face,0
271,trä,wood,0
272,huvud,main,0
273,öppen,open,0
274,tyckas,seem,0
275,tillsammans,together,0
276,nästa,next,0
277,vit,white,0
278,barn,children,0
279,börja,begin,0
280,fick,got,0
281,gå,walk,0
282,exempel,example,0
283,lindra,ease,0
284,papper,paper,0
285,grupp,group,0
286,alltid,always,0
287,musik,music,0
288,de som,those,0
289,båda,both,0
290,märke,mark,0
291,ofta,often,0
292,bokstav,letter,0
293,tills,until,0
294,mil,mile,0
295,flod,river,0
296,bil,car,0
297,fot,feet,0
298,vård,care,0
299,andra,second,0
300,tillräckligt,enough,0
301,vanlig,plain,0
302,flicka,girl,0
303,vanligt,usual,0
304,ung,young,0
305,klar,ready,0
306,ovan,above,0
307,någonsin,ever,0
308,röd,red,0
309,lista,list,0
310,though,though,0
311,känna,feel,0
312,diskussion,talk,0
313,fågel,bird,0
314,snart,soon,0
315,kropp,body,0
316,hund,dog,0
317,familj,family,0
318,direkt,direct,0
319,pose,pose,0
320,lämna,leave,0
321,sång,song,0
322,mäta,measure,0
323,dörr,door,0
324,produkt,product,0
325,svart,black,0
326,kort,short,0
327,siffran,numeral,0
328,klass,class,0
329,vind,wind,0
330,fråga,question,0
331,hända,happen,0
332,fullständig,complete,0
333,skepp,ship,0
334,område,area,0
335,halv,half,0
336,vagga,rock,0
337,för,order,0
338,eld,fire,0
339,söder,south,0
340,problemet,problem,0
341,stycke,piece,0
342,sa,told,0
343,visste,knew,0
344,passera,pass,0
345,sedan,since,0
346,topp,top,0
347,hela,whole,0
348,kung,king,0
349,gata,street,0
350,tum,inch,0
351,multiplicera,multiply,0
352,ingenting,nothing,0
353,Naturligtvis,course,0
354,bo,stay,0
355,hjul,wheel,0
356,fullständig,full,0
357,kraft,force,0
358,blå,blue,0
359,objektet,object,0
360,besluta,decide,0
361,yta,surface,0
362,djup,deep,0
363,månen,moon,0
364,ö,island,0
365,fot,foot,0
366,systemet,system,0
367,upptagen,busy,0
368,testet,test,0
369,register,record,0
370,båt,boat,0
371,gemensam,common,0
372,guld,gold,0
373,möjlig,possible,0
374,plan,plane,0
375,stead,stead,0
376,torka,dry,0
377,undra,wonder,0
378,skratt,laugh,0
379,tusen,thousand,0
380,sedan,ago,0
381,ran,ran,0
382,ta,check,0
383,spel,game,0
384,form,shape,0
385,likställa,equate,0
386,het,hot,0
387,miss,miss,0
388,bringas,brought,0
389,hetta,heat,0
390,snö,snow,0
391,däcket,tire,0
392,bringa,bring,0
393,ja,yes,0
394,avlägsen,distant,0
395,fylla,fill,0
396,öst,east,0
397,måla,paint,0
398,språk,language,0
399,bland,among,0
400,enhet,unit,0
401,kraft,power,0
402,stad,town,0
403,fin,fine,0
404,viss,certain,0
405,flyga,fly,0
406,falla,fall,0
407,bly,lead,0
408,rop,cry,0
409,mörk,dark,0
410,maskin,machine,0
411,anteckning,note,0
412,vänta,wait,0
413,planen,plan,0
414,figur,figure,0
415,stjärna,star,0
416,låda,box,0
